Q#,Question Text,Correct Answer,Unit Index,Grammar Topic,Explanation for Beginners,Explanation (VI),Explanation (ES),Explanation (ZH),Distractor 1,Distractor 2,Distractor 3
168,The woman __________ called you is here.,B (who),Unit 20,Relative clauses,"We use ""who"" for people.","Chúng ta dùng ""who"" cho người.","Usamos ""who"" para personas.","我们用 ""who"" 指代人。",which,whom,where
169,I met the man __________ wrote the book.,B (who),Unit 20,Relative clauses,"We use ""who"" for people.","Chúng ta dùng ""who"" cho người.","Usamos ""who"" para personas.","我们用 ""who"" 指代人。",which,whom,where
170,Those __________ work hard will succeed.,B (who),Unit 20,Relative clauses,"We use ""who"" for people.","Chúng ta dùng ""who"" cho người.","Usamos ""who"" para personas.","我们用 ""who"" 指代人。",which,whom,where
171,"My car, __________ I bought last year, is broken.",A (which),Unit 20,Relative clauses,"We use ""which"" (not ""that"") directly after a comma for things.","Chúng ta dùng ""which"" (không dùng ""that"") ngay sau dấu phẩy cho sự vật.","Usamos ""which"" (no ""that"") directamente después de una coma para cosas.","我们在逗号后直接使用 ""which""（而不是 ""that""）指代事物。",what,that,this
172,"London, __________ is the capital of UK, is very large.",B (which),Unit 20,Relative clauses,"We use ""which"" (not ""that"") directly after a comma.","Chúng ta dùng ""which"" (không dùng ""that"") ngay sau dấu phẩy.","Usamos ""which"" (no ""that"") directamente después de una coma.","我们在逗号后直接使用 ""which""（而不是 ""that""）。",what,that,this
173,"This painting, __________ was painted in 1900, is valuable.",A (which),Unit 20,Relative clauses,"We use ""which"" (not ""that"") directly after a comma.","Chúng ta dùng ""which"" (không dùng ""that"") ngay sau dấu phẩy.","Usamos ""which"" (no ""that"") directamente después de una coma.","我们在逗号后直接使用 ""which""（而不是 ""that""）。",what,that,this
174,__________ is important to study hard.,C (It),Unit 21,Ways of organising texts,"We use ""It"" to start sentences like this.","Chúng ta dùng ""It"" để bắt đầu những câu như thế này.","Usamos ""It"" para comenzar oraciones como esta.","我们使用 ""It"" 作为这类句子的主语。",There,This,That
175,__________ seems that he is lost.,C (It),Unit 21,Ways of organising texts,"We use ""It"" to start sentences like this.","Chúng ta dùng ""It"" để bắt đầu những câu như thế này.","Usamos ""It"" para comenzar oraciones como esta.","我们使用 ""It"" 作为这类句子的主语。",There,This,That
176,__________ is clear that we have a problem.,B (It),Unit 21,Ways of organising texts,"We use ""It"" to start sentences like this.","Chúng ta dùng ""It"" để bắt đầu những câu như thế này.","Usamos ""It"" para comenzar oraciones como esta.","我们使用 ""It"" 作为这类句子的主语。",There,This,That
177,She decided to leave and __________ a new job.,A (find),Unit 21,Ways of organising texts,"We don't need to repeat ""to"" after ""and"".","Chúng ta không cần lặp lại ""to"" sau ""and"".","No necesitamos repetir ""to"" después de ""and"".","在 ""and"" 之后我们不需要重复 ""to""。",to find,finding,finds
178,We want to eat and __________ fun.,A (have),Unit 21,Ways of organising texts,"We don't need to repeat ""to"" after ""and"".","Chúng ta không cần lặp lại ""to"" sau ""and"".","No necesitamos repetir ""to"" después de ""and"".","在 ""and"" 之后我们不需要重复 ""to""。",to have,having,has
179,He promised to call and __________ me.,A (visit),Unit 21,Ways of organising texts,"We don't need to repeat ""to"" after ""and"".","Chúng ta không cần lặp lại ""to"" sau ""and"".","No necesitamos repetir ""to"" después de ""and"".","在 ""and"" 之后我们不需要重复 ""to""。",to visit,visiting,visits
180,The letter __________ yesterday.,B (was delivered),Unit 22,The passive,We use the Passive Voice when the action is more important than who did it.,Chúng ta dùng câu Bị động khi hành động quan trọng hơn người thực hiện.,Usamos la Voz Pasiva cuando la acción es más importante que quién la hizo.,当动作比动作的执行者更重要时，我们使用被动语态。,delivered,delivers,is delivering
181,This house __________ in 1990.,B (was built),Unit 22,The passive,We use the Passive Voice when the action is more important than who did it.,Chúng ta dùng câu Bị động khi hành động quan trọng hơn người thực hiện.,Usamos la Voz Pasiva cuando la acción es más importante que quién la hizo.,当动作比动作的执行者更重要时，我们使用被动语态。,built,builds,is building
182,The decision __________ last week.,B (was made),Unit 22,The passive,We use the Passive Voice when the action is more important than who did it.,Chúng ta dùng câu Bị động khi hành động quan trọng hơn người thực hiện.,Usamos la Voz Pasiva cuando la acción es más importante que quién la hizo.,当动作比动作的执行者更重要时，我们使用被动语态。,made,makes,is making
183,I need to __________.,B (have my watch repaired),Unit 22,The passive,"We say ""have something done"" when someone else does a service for us.","Chúng ta nói ""have something done"" khi ai đó làm dịch vụ gì đó cho mình.","Decimos ""have something done"" cuando alguien más nos hace un servicio.","当别人为我们提供服务时，我们说 ""have something done""。",repair my watch,my watch repair,repairing my watch
184,She is __________.,B (having her dress cleaned),Unit 22,The passive,"We say ""have something done"" when someone else does a service for us.","Chúng ta nói ""have something done"" khi ai đó làm dịch vụ gì đó cho mình.","Decimos ""have something done"" cuando alguien más nos hace un servicio.","当别人为我们提供服务时，我们说 ""have something done""。",cleaning her dress,her dress clean,clean her dress
185,We are __________.,B (having the house painted),Unit 22,The passive,"We say ""have something done"" when someone else does a service for us.","Chúng ta nói ""have something done"" khi ai đó làm dịch vụ gì đó cho mình.","Decimos ""have something done"" cuando alguien más nos hace un servicio.","当别人为我们提供服务时，我们说 ""have something done""。",painting the house,the house paint,paint the house
186,I went to work __________ I was sick.,A (although),Unit 23,Linking ideas,We use this word to show a contrast or difference.,Chúng ta dùng từ này để thể hiện sự đối lập hoặc khác biệt.,Usamos esta palabra para mostrar un contraste o diferencia.,我们使用这个词来表示对比或差异。,however,despite,but
187,"__________ it was cold, we went swimming.",B (Although),Unit 23,Linking ideas,We use this word to show a contrast or difference.,Chúng ta dùng từ này để thể hiện sự đối lập hoặc khác biệt.,Usamos esta palabra para mostrar un contraste o diferencia.,我们使用这个词来表示对比或差异。,However,Therefore,Despite
188,He failed the exam __________ he studied hard.,B (although),Unit 23,Linking ideas,We use this word to show a contrast or difference.,Chúng ta dùng từ này để thể hiện sự đối lập hoặc khác biệt.,Usamos esta palabra para mostrar un contraste o diferencia.,我们使用这个词来表示对比或差异。,however,despite,but
189,He is intelligent. __________ he is hardworking.,"B (In addition,)",Unit 23,Linking ideas,We use this word to add more information.,Chúng ta dùng từ này để thêm thông tin.,Usamos esta palabra para agregar más información.,我们使用这个词来添加更多信息。,However,Therefore,Despite
190,The hotel is cheap. __________ it is close to the beach.,"B (Furthermore,)",Unit 23,Linking ideas,We use this word to add more information.,Chúng ta dùng từ này để thêm thông tin.,Usamos esta palabra para agregar más información.,我们使用这个词来添加更多信息。,However,Therefore,Despite
191,I like reading. __________ I enjoy hiking.,"B (Moreover,)",Unit 23,Linking ideas,We use this word to add more information.,Chúng ta dùng từ này để thêm thông tin.,Usamos esta palabra para agregar más información.,我们使用这个词来添加更多信息。,However,Therefore,Despite
192,__________ I lost my keys.,A (Unfortunately),Unit 24,Showing your position in a text,We use this word to introduce bad news.,Chúng ta dùng từ này để thông báo tin xấu.,Usamos esta palabra para introducir malas noticias.,我们使用这个词来引出坏消息。,"Frankly,","Ideally,","Especially,"
193,__________ we missed the train.,B (Sadly),Unit 24,Showing your position in a text,We use this word to introduce bad news.,Chúng ta dùng từ này để thông báo tin xấu.,Usamos esta palabra para introducir malas noticias.,我们使用这个词来引出坏消息。,"Frankly,","Ideally,","Especially,"
194,__________ he didn't get the job.,A (Regrettably),Unit 24,Showing your position in a text,We use this word to introduce bad news.,Chúng ta dùng từ này để thông báo tin xấu.,Usamos esta palabra para introducir malas noticias.,我们使用这个词来引出坏消息。,"Frankly,","Ideally,","Especially,"
195,__________ I believe he is right.,"A (Personally,)",Unit 24,Showing your position in a text,We use this word to give our personal opinion.,Chúng ta dùng từ này để đưa ra ý kiến cá nhân.,Usamos esta palabra para dar nuestra opinión personal.,我们使用这个词来表达个人观点。,"Frankly,","Ideally,","Especially,"
196,__________ I don't like it.,"A (Frankly,)",Unit 24,Showing your position in a text,We use this word to give our personal opinion.,Chúng ta dùng từ này để đưa ra ý kiến cá nhân.,Usamos esta palabra para dar nuestra opinión personal.,我们使用这个词来表达个人观点。,"Personally,","Ideally,","Especially,"
197,__________ I prefer tea.,"A (Personally,)",Unit 24,Showing your position in a text,We use this word to give our personal opinion.,Chúng ta dùng từ này để đưa ra ý kiến cá nhân.,Usamos esta palabra para dar nuestra opinión personal.,我们使用这个词来表达个人观点。,"Frankly,","Ideally,","Especially,"
198,The __________ of the sun was beautiful.,B (brightness),Unit 25,Nominalisation in written English,We need a noun (a thing word) here.,Chúng ta cần một danh từ ở đây.,Necesitamos un sustantivo aquí.,我们这里需要一个名词。,bright,brightly,brighten
199,The __________ of the team was important.,A (strength),Unit 25,Nominalisation in written English,We need a noun (a thing word) here.,Chúng ta cần một danh từ ở đây.,Necesitamos un sustantivo aquí.,我们这里需要一个名词。,strong,strongly,strengthen
200,The __________ of the new system caused problems.,B (implementation),Unit 25,Nominalisation in written English,We need a noun (a thing word) here.,Chúng ta cần một danh từ ở đây.,Necesitamos un sustantivo aquí.,我们这里需要一个名词。,implement,implementing,implements
